Country,2006-2010,2011-2015,2016-2019
Romania,1330000,8304457.2,16457500
Russian Federation,49584362,84940555.6,123627621.3
Rwanda,2200,1145334,4465509
Réunion,0,0,0
Saint Kitts and Nevis,0,10527.8,35517
Saint Lucia,0,30508.2,75663.66667
Saint Vincent and the Grenadines,0,16052,66125.25
Samoa,0,9787,47506.5
San Marino,0,11247,42267.5
Sao Tome and Principe,15,15464.4,66381.25
Saudi Arabia,7000000,22861045.2,32757677.75
Senegal,24140,2018245.8,5949945.5
Serbia,1423362,4214161.8,5626087
Seychelles,658.75,10123,65341.5
Sierra Leone,0,885220,1385278.45
Singapore,3234500,7293280,8582650
Slovakia,679976.75,2664663,4824239.75
Slovenia,495639,826199.2,1525505
Solomon Islands,4102.5,48603,108583.25
Somalia,0,76000,319000
South Africa,8700000,22143922.8,44597278.75
South Sudan,0,116002.2,483243
Spain,7797675.5,29772001.6,44805393.25
Sri Lanka,294000,1996660,11870679.75
St. Helena,0,0,0
St. Maarten,0,0,0
St. Pierre & Miquelon,0,0,0
Sudan,1342035,9247054.6,13091711.75
Suriname,0,181026.6,325182
Sweden,6798602,10548805.6,12466612.75
Switzerland,2141690.5,5329464,8480386.75
Syrian Arab Republic,71415.5,1084580.6,2353768.5
"Taiwan, Province of China",3851514.5,13656704.4,24678965.25
Tajikistan,0,779966.6667,1812500
Tanzania,356054.3333,1847057.4,5183931.5
Thailand,0,31273200,59389500
Timor-Leste,0,268152,502068.25
Togo,668.3333333,171759,2324944.5
Tokelau,0,0,0
Tonga,0,20480,63332.25
Trinidad and Tobago,2279,237664,642656.5
Tunisia,92759,3639360.8,8135637.75
Turkey,4841386.5,26006025.2,58045541.75
Turkmenistan,0,294125,826000
Turks & Caicos Is.,0,0,0
Tuvalu,0,0,0
Uganda,463114,4068046.8,10856731.67
Ukraine,1900000,2785100,15648747.33
United Arab Emirates,1127117,7039444.4,21421915.5
United Kingdom,24794246.5,50953322.8,62247365.25
United States,112585333.3,309205200,453436750
Uruguay,281566.5,1619815.8,3416179.75
Uzbekistan,3035000,7543984.2,19489115.75
Vanuatu,0,36436.8,271718.75
Vatican,0,0,0
Venezuela,3111362,12382455.2,15729422.5
Viet Nam,7029368,21971106.2,56840094.25
Virgin Islands (US),0,0,0
Wallis and Futuna,0,0,0
Yemen,0,712021.6,1622620
Zambia,17218,732164,7956963
Zimbabwe,314500,4541596.6,7144261.25
