Country,2006-2010,2011-2015,2016-2019
Saint Vincent and the Grenadines,0,14.725,60.102
Samoa,0,5.085,24.366
San Marino,0,34.085,125.372
Sao Tome and Principe,0.008,7.874,31.681
Saudi Arabia,25.527,75.167,97.793
Senegal,0.19,14.229,37.704
Serbia,15.831,47.278,63.845
Seychelles,0.724,10.781,67.353
Sierra Leone,0,12.467,18.382
Singapore,65.661,133.79,149.734
Slovakia,12.588,49.122,88.509
Slovenia,24.256,40.042,73.449
Solomon Islands,0.777,8.389,16.782
Somalia,0,0.559,2.214
South Africa,16.987,40.938,77.481
South Sudan,0,1.117,4.402
Spain,16.652,63.527,95.984
Sri Lanka,1.451,9.624,56.01
St. Helena,0,0,0
St. Maarten,0,0,0
St. Pierre & Miquelon,0,0,0
Sudan,3.885,24.793,31.568
Suriname,0,32.673,56.579
Sweden,72.949,109.598,125.437
Switzerland,27.579,65.319,99.909
Syrian Arab Republic,0.335,5.808,13.736
"Taiwan, Province of China",16.656,58.261,104.114
Tajikistan,0,9.399,20.635
Tanzania,0.822,3.706,9.334
Thailand,0,45.691,85.695
Timor-Leste,0,22.612,40.22
Togo,0.01,2.403,29.607
Tokelau,0,0,0
Tonga,0,20.289,61.662
Trinidad and Tobago,0.172,17.454,46.346
Tunisia,0.872,32.939,70.672
Turkey,6.718,33.987,71.003
Turkmenistan,0,5.332,14.459
Turks & Caicos Is.,0,0,0
Tuvalu,0,0,0
Uganda,1.447,11.105,26.201
Ukraine,4.149,6.333,36.937
United Arab Emirates,13.183,76.469,223.603
United Kingdom,39.251,78.351,92.955
United States,36.604,97.616,138.995
Uruguay,8.386,47.692,99.229
Uzbekistan,10.698,25.018,60.413
Vanuatu,0,13.955,91.913
Vatican,0,0,0
Venezuela,10.94,41.734,53.942
Viet Nam,7.991,24.075,59.667
Virgin Islands (US),0,0,0
Wallis and Futuna,0,0,0
Yemen,0,2.748,5.899
Zambia,0.127,4.685,46.26
Zimbabwe,2.478,33.778,49.801
