Country,2000-2005,2006-2010,2011-2015,2016-2019,
Honduras,7.137,75.597,88.644,82.132,
"Hong Kong, China",China,103.641,168.845,232.139,263.25
Hungary,67.265,114.176,114.846,103.442,
Iceland,91.393,105.987,110.451,121.25,
India,2.941,33.389,71.655,85.92,
Indonesia,8.812,56.735,119.718,139.325,
Iran (Islamic Republic of),5.437,53.701,84.175,114.989,
Iraq,1.378,58.738,91.012,92.52,
Ireland,84.214,109.604,106.591,103.936,
Israel,100.666,126.647,124.056,130.8,
Italy,98.165,150.752,155.614,137.165,
Jamaica,46.723,99.279,102.473,105.462,
Japan,64.764,86.706,115.416,138.636,
Jersey,77.404,0,0,0,
Jordan,25.839,81.645,120.609,91.637,
Kazakhstan,11.998,89.645,165.378,142.939,
Kenya,5.011,39.308,71.011,91.204,
Kiribati,0.56,4.528,22.602,44.783,
Korea (Rep. of),68.107,93.015,110.072,127.243,
Kosovo,32.302,32.302,0,0,
Kuwait,54.941,77.789,179.111,178.835,
Kyrgyzstan,3.408,62.488,121.768,133.777,
Lao P.D.R.,3.14,38.45,69.687,55.979,
Latvia,47.905,104.222,122.026,119.135,
Lebanon,19.285,37.421,68.266,63.631,
Lesotho,6.532,30.963,87.006,93.346,
Liberia,1.634,23.529,64.705,62.263,
Libya,8.073,119.026,151.99,104.734,
Liechtenstein,53.829,93.115,104.589,122.669,
Lithuania,62.338,152.621,152.461,157.87,
Luxembourg,100.83,146.213,144.617,133.489,
"Macao, China",China,70.008,174.58,291.894,331.856
Madagascar,1.43,21.628,40.272,35.614,
Malawi,1.321,12.535,32.757,43.124,
Malaysia,44.958,98.426,142.437,137.972,
Maldives,24.271,113.571,149.325,168.609,
Mali,2.003,26.878,110.045,115.817,
Malta,64.551,96.482,125.915,139.152,
Marshall Islands,1.063,0,27.047,27.559,
Martinique,67.247,0,0,0,
Mauritania,11.38,57.088,98.148,97.434,
Mauritius,33.996,80.864,123.088,146.901,
Mayotte,12.083,0,0,0,
Mexico,28.646,66.899,86.609,93.278,
Micronesia,5.142,24.788,26.713,20.99,
Moldova,12.211,50.365,88.105,91.15,
Monaco,46.002,61.352,91.164,86.143,
Mongolia,12.583,63.949,106.168,126.295,
Montenegro,83.387,166.199,164.965,174.09,
Montserrat,31.267,75.035,90.615,0,
Morocco,23.661,73.346,121.601,123.434,
Mozambique,2.605,20.372,52.236,47.952,
Myanmar,0.128,0.768,31.242,99.675,
Namibia,11.429,58.537,109.868,112.563,
Nauru,13.147,61.969,74.709,94.546,
Nepal (Republic of),0.312,17.489,75.541,129.297,
Neth. Antilles,109.529,0,0,0,
Netherlands,81.315,116.537,118.023,123.665,
New Caledonia,39.713,77.525,90.977,0,
New Zealand,64.077,103.149,111.545,133.988,
Nicaragua,8.782,51.808,104.725,113.628,
Niger,0.808,12.135,36.699,38.29,
Nigeria,3.998,39.112,72.403,84.74,
Niue,28.523,0,0,0,
Norfolk Islands,0,0,0,0,
North Macedonia,29.175,88.245,105.918,95.432,
Northern Marianas,25.017,0,0,0,
Norway,87.392,109.139,112.977,107.915,
Oman,25.333,114.211,151.514,145.078,
Pakistan,2.434,43.76,64.596,71.369,
Palau,20.667,62.283,105.808,0,
Palestine,8.162,38.678,73.442,85.145,
Panama,26.374,122.917,165.998,131.197,
Papua New Guinea,0.461,12.879,38.463,46.67,
Paraguay,26.848,82.814,107.745,109.097,
Peru,10.929,69.262,105.778,124.987,
Philippines,24.786,71.626,106.722,127.722,
Poland,43.501,111.513,142.918,131.881,
Portugal,88.524,120.501,114.316,114.628,
Puerto Rico,46.272,71.157,89.858,107.677,
Qatar,49.014,105.746,130.684,141.044,
Romania,32.378,106.077,114.46,115.69,
Russian Federation,29.891,138.004,149.418,158.931,
Rwanda,1.315,16.878,61.19,76.353,
Réunion,59.041,0,0,0,
Saint Kitts and Nevis,39.673,143.182,146.332,148.03,
Saint Lucia,33.504,95.707,115.108,99.15,
Saint Vincent and the Grenadines,34.636,107.224,112.751,99.331,
Samoa,5.436,40.266,55.779,70.604,
San Marino,57.665,78.415,112.265,112.601,
Sao Tome and Principe,2.863,32.39,70.167,81.437,
Saudi Arabia,28.82,137.751,177.311,128.077,
Senegal,7.39,44.785,91.34,104.414,
Serbia,55.555,98.362,105.42,98.128,
Seychelles,52.614,103.684,149.667,178.653,
Sierra Leone,1.088,19.767,54.085,85.839,
Singapore,84.539,131.003,149.387,150.241,
Slovakia,58.057,103.339,115.594,131.873,
Slovenia,81.263,99.081,110.297,118.051,
Solomon Islands,0.484,8.243,59.246,71.406,
Somalia,2.44,5.376,31.116,48.896,
South Africa,37.164,89.731,139.986,156.846,
South Sudan,0,15.776,24.582,22.008,
Spain,80.791,107.112,108.851,114.369,
Sri Lanka,7.76,57.975,100.602,135.794,
St. Helena,0,0,4.321,54.268,
St. Maarten,0,0,195.941,0,
St. Pierre & Miquelon,0,0,0,0,
Sudan,1.652,29.768,73.382,72.272,
Suriname,28.949,101.853,133.09,138.234,
Sweden,89.714,110.722,125.308,127.258,
Switzerland,80.202,113.939,133.408,129.47,
Syrian Arab Republic,6.625,38.41,68.423,95.275,
"Taiwan, Province of China",ProvinceofChina,100.505,110.987,126.457,123.062
Tajikistan,1.151,51.532,91.182,110.014,
Tanzania,3.221,30.684,62.294,77.007,
Thailand,27.586,87.867,133.887,178.861,
Timor-Leste,2.696,20.028,79.714,118.404,
Togo,4.075,26.676,56.125,76.809,
Tokelau,0,0,0,0,
Tonga,10.171,45.392,60.87,87.239,
Trinidad and Tobago,33.574,130.359,144.135,150.244,
Tunisia,20.63,85.646,121.892,126.432,
Turkey,41.669,86.513,91.642,96.02,
Turkmenistan,0.666,28.158,120.262,157.15,
Turks & Caicos Is.,70.108,0,0,0,
Tuvalu,3.011,14.552,34.304,69.033,
Uganda,2.557,23.761,51.18,58.211,
Ukraine,20.12,116.429,135.505,130.727,
United Arab Emirates,73.766,124.808,166.53,207.689,
United Kingdom,89.064,119.719,120.649,118.965,
United States,53.511,85.591,104.283,127.278,
Uruguay,18.541,104.018,151.505,146.435,
Uzbekistan,1.253,41.426,74.004,80.661,
Vanuatu,3.007,32.8,57.637,83.188,
Vatican,0,0,0,0,
Venezuela,30.327,90.992,101.164,73.698,
Viet Nam,4.269,80.293,140.902,136.02,
Virgin Islands (US),48.481,0,0,0,
Wallis and Futuna,0,0,0,0,
Yemen,4.347,29.812,59.14,56.447,
Zambia,2.92,27.139,67.819,84.687,
Zimbabwe,3.274,24.571,89.767,92.571,
